ht,pot,mix,u,v,ws
1023.6,267.94,2.953,9.95,-8.68,13.20397289
1026.2,267.91,2.953,9.93,-8.69,13.19549165
1028.7,267.8,2.954,9.9,-8.73,13.19935226
1031.3,267.77,2.954,9.89,-8.75,13.2050975
1033.9,267.75,2.954,9.87,-8.76,13.19676097
1036.9,267.72,2.954,9.84,-8.8,13.20096966
1040.1,267.59,2.955,9.9,-8.88,13.29903756
1043.4,267.56,2.955,9.84,-8.8,13.20096966
1046.7,267.53,2.955,9.86,-8.78,13.20257551
1049.9,267.5,2.955,9.8,-8.7,13.10457935
1053.2,267.47,2.955,9.8,-8.7,13.10457935
1056.4,267.34,2.956,9.74,-8.61,12.99998846
1059.7,267.32,2.956,9.75,-8.6,13.00086536
1062.9,267.28,2.956,9.69,-8.51,12.89636383
1066.2,267.16,2.958,9.71,-8.5,12.90480918
1069.4,267.13,2.958,9.65,-8.41,12.80041406
1072.7,267.1,2.958,9.66,-8.4,12.80139055
1075.9,267.07,2.958,9.58,-8.33,12.6950896
1079.2,266.93,2.959,9.6,-8.32,12.70363727
1082.5,266.91,2.959,9.54,-8.23,12.59938491
1085.8,266.87,2.959,9.55,-8.22,12.60043253
1089.1,266.74,2.96,9.57,-8.2,12.60257513
1092.5,266.71,2.96,9.51,-8.12,12.50497901
1095.8,266.68,2.96,9.52,-8.1,12.49961599
1099.1,266.55,2.961,9.46,-8.02,12.4020966
1102.4,266.51,2.961,9.47,-8,12.39681007
1105.7,266.48,2.961,9.41,-7.92,12.2993699
1109.1,266.35,2.962,9.42,-7.91,12.30058942
1112.4,266.31,2.962,9.36,-7.83,12.20321679
1115.7,266.28,2.962,9.37,-7.81,12.19807362
1119.3,266.24,2.962,9.31,-7.73,12.1007851
1123.2,266.11,2.963,9.32,-7.71,12.09572238
1127.2,266.08,2.963,9.26,-7.63,11.99852074
1131.1,266.04,2.963,9.27,-7.62,11.9998875
1135,265.91,2.964,9.21,-7.54,11.90276018
1138.9,265.88,2.964,9.22,-7.52,11.89784855
1142.9,265.84,2.964,9.23,-7.51,11.89928569
1146.8,265.71,2.965,9.26,-7.47,11.89741569
1150.7,265.68,2.965,9.29,-7.44,11.90200403
1154.7,265.65,2.965,9.31,-7.41,11.89891592
1158.6,265.51,2.966,9.35,-7.36,11.89924788
1162.5,265.48,2.966,9.38,-7.33,11.90433954
1166.4,265.45,2.966,9.4,-7.29,11.89554959
1170.4,265.41,2.966,9.43,-7.26,11.90094534
1173.9,265.28,2.967,9.47,-7.21,11.9023107
1177.3,265.24,2.967,9.49,-7.18,11.90010504
1180.8,265.2,2.967,9.52,-7.15,11.90600269
1184.3,265.06,2.968,9.54,-7.11,11.89805446
1187.7,265.01,2.968,9.58,-7.06,11.90042016
1191.2,264.97,2.968,9.6,-7.03,11.89877725
1194.6,264.83,2.969,9.63,-6.99,11.89945377
1198.1,264.78,2.969,9.65,-6.96,11.89807127
1201.6,264.74,2.969,9.68,-6.93,11.90492755
1205,264.6,2.97,9.71,-6.88,11.90035714
1208.5,264.55,2.97,9.74,-6.84,11.90181499
1212.2,264.41,2.971,9.76,-6.81,11.90099576
1217.7,264.37,2.971,9.78,-6.77,11.89459121
1223.1,264.23,2.971,9.81,-6.74,11.90225609
1228.6,264.09,2.974,9.84,-6.69,11.89881086
1234,264.05,2.974,9.95,-6.71,12.00110828
1239.5,263.91,2.975,9.97,-6.68,12.00097079
1244.9,263.87,2.975,10,-6.64,12.00373275
1250.4,263.73,2.976,10.02,-6.61,12.00385355
1255.8,263.69,2.976,10.05,-6.55,11.99604101
1261.3,263.55,2.977,10.08,-6.52,12.00486568
1266.7,263.5,2.977,10.1,-6.48,12.00001667
1272.2,263.37,2.978,10.12,-6.45,12.00070415
1277.6,263.32,2.978,10.16,-6.57,12.09919419
1283.1,263.18,2.978,10.11,-6.64,12.09552397
1288.5,263.04,2.98,10.16,-6.75,12.19787277
1294,263,2.98,10.11,-6.82,12.19526547
1299.4,262.86,2.981,10.15,-6.95,12.30142268
1305.4,262.81,2.981,10.1,-7.02,12.30001626
1311.7,262.65,2.982,10.15,-7.13,12.40400742
1317.9,262.6,2.982,10.1,-7.2,12.4036285
1324.1,262.45,2.983,10.13,-7.33,12.50383141
1330.3,262.38,2.983,10.17,-7.44,12.60089283
1336.5,262.24,2.983,10.12,-7.51,12.60216251
1342.7,262.18,2.983,10.16,-7.63,12.70600252
1349,262.02,2.983,10.1,-7.7,12.70039369
1355.2,261.96,2.983,10.14,-7.81,12.79905075
1361.4,261.81,2.983,10.09,-7.88,12.80244117
1367.6,261.66,2.988,10.12,-8,12.90017054
1373.8,261.6,2.988,10.16,-8.11,12.99991154
1380,261.45,2.989,10.1,-8.18,12.99701504
1386.2,261.39,2.989,10.14,-8.3,13.10380098
1392.5,261.24,2.99,10.09,-8.35,13.09696912
1398.7,261.18,2.99,10.11,-8.48,13.19554849
1404.9,261.02,2.99,10.14,-8.6,13.29584898
1411.2,260.97,2.99,10.1,-8.66,13.30434515
1417.5,260.81,2.99,10.13,-8.77,13.39887309
1423.9,260.75,2.99,10.16,-8.89,13.50028518
1430.3,260.6,2.99,10.11,-8.95,13.50239238
1436.6,260.45,2.99,10.12,-9.08,13.59635245
1443,260.38,2.99,10.15,-9.2,13.69899631
1449.4,260.22,2.995,10.1,-9.26,13.70246693
1455.7,260.16,2.995,10.13,-9.38,13.80584297
1462.1,260,2.995,10.18,-9.46,13.89690613
1468.5,259.93,2.995,10.24,-9.55,14.00214626
1474.9,259.78,2.995,10.3,-9.63,14.10059928
1481.2,259.72,2.995,10.35,-9.72,14.19862317
1488,259.56,2.995,10.41,-9.81,14.30399245
1495.2,259.4,3,10.46,-9.89,14.39526658
1502.5,259.33,2.4,10.5,-10,14.5
1509.8,259.18,2.401,10.56,-10.09,14.60553662
1517,259.12,2.401,10.61,-10.17,14.69697248
1524.3,258.95,2.402,10.66,-10.26,14.79537766
1531.6,258.89,2.402,10.72,-10.35,14.90103688
1538.9,258.73,2.402,10.77,-10.44,14.99954999
1546.1,258.67,2.402,10.9,-10.6,15.20427571
1553.4,258.52,2.403,10.95,-10.69,15.30289515
1560.1,258.36,2.404,11,-10.77,15.39457372
1566.5,258.3,2.404,11.06,-10.86,15.5004258
1572.8,258.24,2.404,11.11,-10.95,15.59918588
1579.2,258.18,2.404,11.16,-11.04,15.69799987
1585.6,258.12,2.404,11.21,-11.13,15.79686678
1591.9,258.16,2.404,11.26,-11.22,15.8957856
1598.3,258.1,2.404,11.31,-11.31,15.99475539
1604.6,258.04,2.404,11.38,-11.38,16.09375034
1611,257.99,2.403,11.44,-11.48,16.20691211
1617.3,257.93,2.403,11.49,-11.57,16.3059805
1623.7,257.78,2.404,11.54,-11.66,16.40509677
1630,257.63,1.804,11.59,-11.75,16.50426006
1636.4,257.47,1.804,11.64,-11.84,16.60346952
1642.7,257.33,1.805,11.68,-11.93,16.695727
1649.1,257.18,1.806,11.75,-12,16.79471643
1654.9,257.03,1.806,11.8,-12.1,16.90118339
1660.6,256.88,1.807,11.96,-12.22,17.09883037
1666.3,256.73,1.807,12.08,-12.25,17.20432794
1672,256.77,1.807,12.19,-12.28,17.30301997
1677.7,256.72,1.807,12.28,-12.33,17.4019338
1683.4,256.76,1.806,12.4,-12.35,17.50092855
1689.1,256.7,1.806,12.49,-12.4,17.60000284
1694.8,256.75,1.806,12.6,-12.43,17.69929095
1700.5,256.7,1.806,12.7,-12.48,17.80562832
1706.2,256.74,1.805,12.81,-12.5,17.89821499
1712,256.7,1.805,12.9,-12.55,17.99756928
