ht_new,ln_ht_new,u_new,v_new,ws_new,,ht_old,ln_ht_old,u_old,v_old,ws_old,,ws_adj,,,ln_ht_old_old,ht,,,u,v,ws_old_old,,ht_new_new,temp,moisture,u_new_new,v_new_new,ws_new_new,ln_ht
,,,,,,,,,,,,,,,6.435829804,623.8,275.13,2.916,10.2,-8.99,13.59632671,,631.2,274.96,2.918,10.25,-8.94,18.69968453,6.44762277
,,,,,,,,,,,,,,,6.441743671,627.5,274.99,2.917,10.22,-8.98,13.60473447,,634.8,274.91,2.918,10.25,-8.94,18.69968453,6.453309989
,,,,,,,,,,,,,,,6.44762277,631.2,274.96,2.918,10.25,-8.94,13.60095952,,638.5,274.78,2.919,10.25,-8.94,18.69968453,6.459121675
,,,,,,,,,,,,,,,6.453309989,634.8,274.91,2.918,10.25,-8.94,13.60095952,,642.6,274.74,2.919,10.25,-8.94,18.69968453,6.465522447
,,,,,,,,,,,,,,,6.459121675,638.5,274.78,2.919,10.25,-8.94,13.60095952,,646.8,274.7,2.919,10.26,-8.92,18.69409186,6.472037128
,,,,,,,,,,,,,,,6.465522447,642.6,274.74,2.919,10.25,-8.94,13.60095952,,650.9,274.57,2.92,10.26,-8.92,18.69409186,6.478356021
,,,,,,,,,,,,,,,6.472037128,646.8,274.7,2.919,10.26,-8.92,13.59536686,,655.1,274.53,2.92,10.26,-8.92,18.69409186,6.484787896
,,,,,,,,,,,,,,,6.478356021,650.9,274.57,2.92,10.26,-8.92,13.59536686,,659.2,274.49,2.92,10.26,-8.92,18.69409186,6.491026979
,,,,,,,,,,,,,,,6.484787896,655.1,274.53,2.92,10.26,-8.92,13.59536686,,663.4,274.35,2.921,10.26,-8.92,18.69409186,6.497378127
,,,,,,,,,,,,,,,6.491026979,659.2,274.49,2.92,10.26,-8.92,13.59536686,,667.5,274.31,2.921,10.26,-8.92,18.69409186,6.50353939
,,,,,,,,,,,,,,,6.497378127,663.4,274.35,2.921,10.26,-8.92,13.59536686,,671.6,274.28,2.921,10.26,-8.92,18.69409186,6.509662925
,,,,,,,,,,,,,,,6.50353939,667.5,274.31,2.921,10.26,-8.92,13.59536686,,675.8,274.14,2.922,10.26,-8.92,18.69409186,6.515897174
,,,,,,,,,,,,,,,6.509662925,671.6,274.28,2.921,10.26,-8.92,13.59536686,,679.9,274.1,2.922,10.26,-8.92,18.69409186,6.521945729
,,,,,,,,,,,,,,,6.515897174,675.8,274.14,2.922,10.26,-8.92,13.59536686,,684.1,274.06,2.922,10.26,-8.92,18.69409186,6.528104106
,,,,,,,,,,,,,,,6.521945729,679.9,274.1,2.922,10.26,-8.92,13.59536686,,688.2,273.92,2.923,10.26,-8.92,18.69409186,6.534079493
,,,,,,,,,,,,,,,6.528104106,684.1,274.06,2.922,10.26,-8.92,13.59536686,,692.1,273.89,2.923,10.26,-8.92,18.69409186,6.539730454
,,,,,,,,,,,,,,,6.534079493,688.2,273.92,2.923,10.26,-8.92,13.59536686,,695.9,273.86,2.923,10.26,-8.92,18.69409186,6.545205972
,,,,,,,,,,,,,,,6.539730454,692.1,273.89,2.923,10.26,-8.92,13.59536686,,699.7,273.73,2.924,10.26,-8.92,18.69409186,6.550651672
,,,,,,,,,,,,,,,6.545205972,695.9,273.86,2.923,10.26,-8.92,13.59536686,,703.5,273.69,2.924,10.26,-8.92,18.69409186,6.556067877
,,,,,,,,,,,,,,,6.550651672,699.7,273.73,2.924,10.26,-8.92,13.59536686,,707.3,273.66,2.924,10.28,-8.9,18.69609239,6.561454904
,,,,,,,,,,,,,,,6.556067877,703.5,273.69,2.924,10.26,-8.92,13.59536686,,711.1,273.53,2.925,10.28,-8.9,18.69609239,6.566813067
,,,,,,,,,,,,,,,6.561454904,707.3,273.66,2.924,10.28,-8.9,13.59736739,,714.9,273.49,2.925,10.28,-8.9,18.69609239,6.572142673
,,,,,,,,,,,,,,,6.566813067,711.1,273.53,2.925,10.28,-8.9,13.59736739,,718.7,273.45,2.925,10.28,-8.9,18.69609239,6.577444024
,,,,,,,,,,,,,,,6.572142673,714.9,273.49,2.925,10.28,-8.9,13.59736739,,722.5,273.32,2.926,10.28,-8.9,18.69609239,6.58271742
,,,,,,,,,,,,,,,6.577444024,718.7,273.45,2.925,10.28,-8.9,13.59736739,,726.3,273.29,2.926,10.28,-8.9,18.69609239,6.587963153
,,,,,,,,,,,,,,,6.58271742,722.5,273.32,2.926,10.28,-8.9,13.59736739,,730.1,273.25,2.926,10.28,-8.9,18.69609239,6.593181511
,,,,,,,,,,,,,,,6.587963153,726.3,273.29,2.926,10.28,-8.9,13.59736739,,733.9,273.12,2.927,10.28,-8.9,18.69609239,6.59837278
,,,,,,,,,,,,,,,6.593181511,730.1,273.25,2.926,10.28,-8.9,13.59736739,,737.7,273.09,2.927,10.28,-8.9,18.69609239,6.603537238
,,,,,,,,,,,,,,,6.59837278,733.9,273.12,2.927,10.28,-8.9,13.59736739,,741.4,273.05,2.927,10.28,-8.9,18.69609239,6.608540291
,,,,,,,,,,,,,,,6.603537238,737.7,273.09,2.927,10.28,-8.9,13.59736739,,744.8,272.92,2.928,10.28,-8.9,18.69609239,6.613115726
,,,,,,,,,,,,,,,6.608540291,741.4,273.05,2.927,10.28,-8.9,13.59736739,,748.2,272.89,2.928,10.28,-8.9,18.69609239,6.617670322
,,,,,,,,,,,,,,,6.613115726,744.8,272.92,2.928,10.28,-8.9,13.59736739,,751.6,272.86,2.928,10.3,-8.89,18.70468325,6.622204268
,,,,,,,,,,,,,,,6.617670322,748.2,272.89,2.928,10.28,-8.9,13.59736739,,755.1,272.73,2.929,10.31,-8.87,18.69920293,6.626850191
,,,,,,,,,,,,,,,6.622204268,751.6,272.86,2.928,10.3,-8.89,13.60595825,,758.5,272.69,2.929,10.31,-8.87,18.69920293,6.631342799
,,,,,,,,,,,,,,,6.626850191,755.1,272.73,2.929,10.31,-8.87,13.60047793,,761.9,272.55,2.93,10.33,-8.85,18.70134975,6.635815313
,,,,,,,,,,,,,,,6.631342799,758.5,272.69,2.929,10.31,-8.87,13.60047793,,765.3,272.52,2.93,10.34,-8.83,18.69594898,6.640267914
,,,,,,,,,,,,,,,6.635815313,761.9,272.55,2.93,10.33,-8.85,13.60262475,,768.8,272.49,2.93,10.34,-8.83,18.69594898,6.644830858
,,,,,,,,,,,,,,,6.640267914,765.3,272.52,2.93,10.34,-8.83,13.59722398,,772.2,272.35,2.931,10.36,-8.81,18.69819926,6.649243584
,,,,,,,,,,,,,,,6.644830858,768.8,272.49,2.93,10.34,-8.83,13.59722398,,775.6,272.32,2.931,10.37,-8.8,18.69934631,6.653636923
,,,,,,,,,,,,,,,6.649243584,772.2,272.35,2.931,10.36,-8.81,13.59947425,,779.1,272.29,2.931,10.37,-8.8,18.69934631,6.658139407
,,,,,,,,,,,,,,,6.653636923,775.6,272.32,2.931,10.37,-8.8,13.60062131,,782.5,272.16,2.932,10.39,-8.78,18.70168424,6.662493922
,,,,,,,,,,,,,,,6.658139407,779.1,272.29,2.931,10.37,-8.8,13.60062131,,786,272.12,2.932,10.4,-8.76,18.69643069,6.666956792
,,,,,,,,,,,,,,,6.662493922,782.5,272.16,2.932,10.39,-8.78,13.60295924,,789.7,272.08,2.932,10.4,-8.76,18.69643069,6.671653127
,,,,,,,,,,,,,,,6.666956792,786,272.12,2.932,10.4,-8.76,13.59770569,,793.5,271.95,2.933,10.34,-8.68,18.59902129,6.67645354
,,,,,,,,,,,,,,,6.671653127,789.7,272.08,2.932,10.4,-8.76,13.59770569,,797.2,271.91,2.933,10.36,-8.66,18.6015099,6.681105588
,,,,,,,,,,,,,,,6.67645354,793.5,271.95,2.933,10.34,-8.68,13.50029629,,800.9,271.87,2.933,10.36,-8.66,18.6015099,6.685736095
,,,,,,,,,,,,,,,6.681105588,797.2,271.91,2.933,10.36,-8.66,13.5027849,,804.6,271.73,2.934,10.37,-8.64,18.59637294,6.69034526
,,,,,,,,,,,,,,,6.685736095,800.9,271.87,2.933,10.36,-8.66,13.5027849,,808.3,271.7,2.934,10.39,-8.62,18.59896574,6.694933277
,,,,,,,,,,,,,,,6.69034526,804.6,271.73,2.934,10.37,-8.64,13.49764794,,812,271.66,2.934,10.4,-8.61,18.60028417,6.69950034
,,,,,,,,,,,,,,,6.694933277,808.3,271.7,2.934,10.39,-8.62,13.50024074,,815.7,271.52,2.935,10.4,-8.61,18.60028417,6.70404664
,,,,,,,,,,,,,,,6.69950034,812,271.66,2.934,10.4,-8.61,13.50155917,,819.5,271.49,2.935,10.42,-8.59,18.60296508,6.708694398
,,,,,,,,,,,,,,,6.70404664,815.7,271.52,2.935,10.4,-8.61,13.50155917,,823.2,271.44,2.935,10.43,-8.57,18.59797683,6.713199185
,,,,,,,,,,,,,,,6.708694398,819.5,271.49,2.935,10.42,-8.59,13.50424007,,826.9,271.41,2.935,10.43,-8.57,18.59797683,6.717683769
,,,,,,,,,,,,,,,6.713199185,823.2,271.44,2.935,10.43,-8.57,13.49925183,,830.6,271.27,2.936,10.45,-8.55,18.60076188,6.722148331
,,,,,,,,,,,,,,,6.717683769,826.9,271.41,2.935,10.43,-8.57,13.49925183,,834.4,271.24,2.936,10.46,-8.53,18.59585433,6.726712904
,,,,,,,,,,,,,,,6.722148331,830.6,271.27,2.936,10.45,-8.55,13.50203688,,838.8,271.19,2.936,10.46,-8.53,18.59585433,6.731972299
,,,,,,,,,,,,,,,6.726712904,834.4,271.24,2.936,10.46,-8.53,13.49712932,,843.2,271.06,2.937,10.48,-8.51,18.59874352,6.737204178
