ht,pot,mix,u,v,ws,,ht_new,pot_new,mix_new,u_new,v_new,ws_new,,ht_smooth_new,pot_smooth_new,mix_smooth_new,u_smooth_new,v_smooth_new,ws_smooth_new,,Dir_1,Dir_2
427.6,279.13,2.895,8.72,-10.43,13.59497334,,427.6,279.13,2.895,8.08,-9.66,12.59497334,,427.6,279.13,2.895,8.08,-9.66,12.59497334,,0.874310701566363,2.44490622173484
432.7,278.97,2.896,8.76,-10.4,13.59770569,,432.7,278.97,2.896,8.12,-9.64,12.59770569,,432.7,278.97,2.896,8.12,-9.64,12.59770569,,0.870346313069678,2.44217730961513
437.2,278.81,2.897,8.78,-10.39,13.60295924,,437.2,278.81,2.897,8.13,-9.63,12.60295924,,437.2,278.81,2.897,8.13,-9.63,12.60295924,,0.869659727533615,2.44045106274481
441.8,278.76,2.897,8.81,-10.36,13.59947425,,441.8,278.76,2.897,8.16,-9.6,12.59947425,,441.8,278.76,2.897,8.16,-9.6,12.59947425,,0.866305345042352,2.437094322931
446.3,278.59,2.898,8.85,-10.33,13.60262475,,446.3,278.59,2.898,8.2,-9.57,12.60262475,,446.3,278.59,2.898,8.2,-9.57,12.60262475,,0.862345559895288,2.43313391857827
450.9,278.55,2.898,8.89,-10.3,13.60595825,,450.9,278.55,2.898,8.24,-9.54,12.60595825,,450.9,278.55,2.898,8.24,-9.54,12.60595825,,0.858386822068372,2.42917689393686
455.4,278.41,2.899,8.9,-10.28,13.59736739,,455.4,278.41,2.899,8.25,-9.52,12.59736739,,455.4,278.41,2.899,8.25,-9.52,12.59736739,,0.85674770937956,2.42753916505866
460,278.27,2.9,8.94,-10.25,13.60095952,,460,278.27,2.9,8.28,-9.5,12.60095952,,460,278.27,2.9,8.28,-9.5,12.60095952,,0.853840732733184,2.42479103193968
464.5,278.23,2.9,8.98,-10.22,13.60473447,,464.5,278.23,2.9,8.32,-9.47,12.60473447,,464.5,278.23,2.9,8.32,-9.47,12.60473447,,0.849885133903488,2.42083358975135
469.1,278.09,2.901,9.01,-10.19,13.60206602,,469.1,278.09,2.901,8.35,-9.44,12.60206602,,469.1,278.09,2.901,8.35,-9.44,12.60206602,,0.846525116462982,2.41747390773131
473.6,278.05,2.901,9.03,-10.17,13.60036029,,473.6,278.05,2.901,8.37,-9.42,12.60036029,,473.6,278.05,2.901,8.37,-9.42,12.60036029,,0.844283919299399,2.41523386513261
478.2,277.91,2.902,9.06,-10.14,13.5979116,,478.2,277.91,2.902,8.39,-9.39,12.5979116,,478.2,277.91,2.902,8.39,-9.39,12.5979116,,0.841984993650728,2.4118734626102
482.7,277.77,2.903,9.1,-10.11,13.6022829,,482.7,277.77,2.903,8.43,-9.37,12.6022829,,482.7,277.77,2.903,8.43,-9.37,12.6022829,,0.838032765134721,2.40910937227961
487.3,277.73,2.903,9.14,-10.07,13.59943014,,487.3,277.73,2.903,8.47,-9.33,12.59943014,,487.3,277.73,2.903,8.47,-9.33,12.59943014,,0.833548960545388,2.40462477162875
491.6,277.59,2.904,9.17,-10.04,13.59744461,,491.6,277.59,2.904,8.5,-9.3,12.59744461,,491.6,277.59,2.904,8.5,-9.3,12.59744461,,0.830183934295033,2.40126110748863
495.8,277.54,2.904,9.19,-10.03,13.60356571,,495.8,277.54,2.904,8.51,-9.29,12.60356571,,495.8,277.54,2.904,8.51,-9.29,12.60356571,,0.829552730171759,2.39955490207665
